nombre,direccion,codigo_postal,puntuacion_media,numero_reviews,tipo_negocio,latitud,longitud,categoria_negocio,categoria_id,density_500m,density_1000m,density_2000m,ratio_500m_2km,dist_city_center_km,local_density_1km,cluster_zone,dist_city_center_km^2,dist_city_center_km density_1000m,density_1000m^2,valoracion,puntuacion_std,reviews_std,reviews_bin,valoracion_norm,valoracion_por_cercania
Hotel NH Collection Madrid Colón,"Calle del Marqués de Zurgena, 4, Madrid",28001,4.6,1504.0,"lodging, point_of_interest, establishment",40.42607599999999,-3.689069999999999,Alojamiento,1,55,163,682,0.0805270863836017,1.6182434514766928,163,0,2.6187118682471993,263.7736825907009,26569.0,4.6,0.7825651396936505,-0.0610777345005246,muchos,0.931153394416246,2.6771526444908997
Hotel Vincci Soma,"Calle de Goya, 79, Madrid",28001,4.3,2867.0,"lodging, point_of_interest, establishment",40.4250624,-3.6781604,Alojamiento,1,35,133,408,0.0855745721271393,2.3569076296433877,133,0,5.555013574671213,313.46871474257057,17689.0,4.3,0.3319515152851079,0.0934977383127177,muchos,0.8278834860406158,1.7501675472529388
El Corte Inglés Goya,"Calle de Goya, Sótano 1, Madrid",28001,4.2,25800.0,"shopping_mall, point_of_interest, establishment",40.424155,-3.674943899999999,Comercio / Servicios,2,44,114,375,0.1170212765957446,2.5760422437680446,114,0,6.635993641677501,293.6688157895571,12996.0,4.2,0.1817469738155942,2.6942896077375815,muchos,0.8245379691369602,1.5694819503619353
AC Hotel Recoletos,"Calle de Recoletos, 18, Madrid",28001,4.5,587.0,"lodging, point_of_interest, establishment",40.42144649999999,-3.6895566,Alojamiento,1,50,168,706,0.0707213578500707,1.3118109337664383,168,0,1.7208479259491751,220.38423687276168,28224.0,4.5,0.6323605982241368,-0.1650731186309306,muchos,0.8967300916243696,3.187395629523048
Only YOU Boutique Hotel,"Calle del Barquillo, 21, Madrid",28001,4.6,2731.0,"lodging, point_of_interest, establishment",40.42225579999999,-3.6957491,Alojamiento,1,43,283,671,0.0639880952380952,0.912436429563442,283,0,0.832540237994482,258.21950956645406,80089.0,4.6,0.7825651396936505,0.0780742135125703,muchos,0.931153394416246,4.543495142686142
Caribbean Sport Shop,"Calle de Ayala, 110, Madrid",28001,4.9,872.0,"store, point_of_interest, establishment",40.427121,-3.6744412,Comercio / Servicios,2,41,118,380,0.1076115485564304,2.737455739415714,118,0,7.493663925260037,323.01977725105434,13924.0,4.9,1.2331787641021943,-0.1327517615129746,muchos,0.9780672461421202,1.7268991836359011
Gran Café Gijón,"Paseo de Recoletos, 21, Madrid",28001,3.5,7063.0,"cafe, store, food, point_of_interest, establishment",40.422304,-3.692301,Restauración,9,44,215,700,0.0627674750356633,1.1498521745144137,215,0,1.3221600232355255,247.21821752059896,46225.0,3.5,-0.8696848164710058,0.5693588417055024,muchos,0.6153310454416797,2.800331168251799
Hotel Serrano,"Calle del Marqués de Villamejor, 8, Madrid",28001,4.2,488.0,"lodging, point_of_interest, establishment",40.4310378,-3.6874355,Alojamiento,1,40,162,520,0.0767754318618042,2.1036476783959777,162,0,4.425333554820787,340.79092390014836,26244.0,4.2,0.1817469738155942,-0.1763005374192733,muchos,0.7934601832487392,1.9059308078944617
La Llave de Oro,"Calle Velázquez, 6, Madrid",28001,4.5,1157.0,"restaurant, food, point_of_interest, establishment",40.421899,-3.684179300000001,Restauración,9,35,146,618,0.0565428109854604,1.7550947392568692,146,0,3.0803575437671378,256.2438319315029,21316.0,4.5,0.6323605982241368,-0.1004304043950185,muchos,0.8945078201630516,2.4257521218580194
Apart-Hotel Serrano Recoletos,"Calle de Villanueva, 2, Madrid",28001,3.6,874.0,"lodging, point_of_interest, establishment",40.4227751,-3.6900327,Alojamiento,1,54,168,705,0.0764872521246459,1.341541330599947,168,0,1.7997331417078766,225.3789435407911,28224.0,3.6,-0.7194802750014915,-0.1325249449717959,muchos,0.5869203664974781,2.4973269399787075
Nuevo Teatro Alcalá,"Calle de Jorge Juan, 62, Madrid",28001,4.4,14617.0,"point_of_interest, establishment",40.42339690000001,-3.678246199999999,Otros / No categorizado,7,40,131,431,0.0925925925925925,2.2842193685548815,131,0,5.217658123681262,299.2327372806895,17161.0,4.4,0.482156056754623,1.426044917737222,muchos,0.8715291485953629,1.8454677694640655
Hotel Fénix Gran Meliá - The Leading Hotels of the World,"Calle de Hermosilla, 2, Madrid",28001,4.6,1675.0,"lodging, point_of_interest, establishment",40.426552,-3.68921,Alojamiento,1,54,160,676,0.0797636632200886,1.643555272875801,160,0,2.7012739349978485,262.96884366012813,25600.0,4.6,0.7825651396936505,-0.041684920229751,muchos,0.931153394416246,2.638287452976934
Sercotel Togumar,"Calle de Canillas, 59, Madrid",28002,4.2,1556.0,"lodging, point_of_interest, establishment",40.4438931,-3.6727188,Alojamiento,1,34,78,332,0.1021021021021021,3.999588721007898,78,0,15.996709937213591,311.96792023861605,6084.0,4.2,0.1817469738155942,-0.05518050442988,muchos,0.7934601832487392,1.0244930127935896
STYLISH CITY APARTMENTS MADRID,"37, Calle de Luis Cabrera, 5A, Madrid",28002,2.8,176.0,"lodging, point_of_interest, establishment",40.443226,-3.6745053,Alojamiento,1,32,86,342,0.0932944606413994,3.8448145138975582,86,0,14.78259864627732,330.65404819519006,7396.0,2.799999936382712,-1.921116606757606,-0.2116839178431409,normal,0.311533922263292,0.709792545763135
ICEA - Investigación Cooperativa entre Entidades Aseguradoras y Fondos de Pensiones,"Calle de López de Hoyos, 35, 5 planta, Madrid",28002,4.1,54.0,"insurance_agency, point_of_interest, establishment",40.441173,-3.6797154,Finanzas y Seguros,5,20,94,411,0.0485436893203883,3.3912828871473053,94,0,11.500799620658162,318.7805913918467,8836.0,4.081482018135288,0.0315424323460791,-0.2255197268550379,normal,0.8131938206410347,1.1690493580914691
Taste of America,"Calle de Serrano, 149, Madrid",28002,4.0,231.0,"convenience_store, supermarket, grocery_or_supermarket, store, food, point_of_interest, establishment",40.446557,-3.684855100000001,Restauración,9,5,56,428,0.0116550116550116,3.676892217687852,56,0,13.51953638049349,205.9059641905197,3136.0,3.999999999628587,-0.1186621091234345,-0.2054464629607284,muchos,0.7549194326986757,1.0590717894717463
Mutualidad,"Calle de Francisco Silvela, 106, Madrid",28002,2.9,519.0,"insurance_agency, point_of_interest, establishment",40.4389851,-3.6785267,Finanzas y Seguros,5,23,105,384,0.0597402597402597,3.2652426282829317,105,0,10.661809421556027,342.8504759697078,11025.0,2.9,-1.7709120652880916,-0.1727848810310044,muchos,0.5435497189174896,0.861750643364364
Solo de Uva,"Calle del Príncipe de Vergara, 210, Madrid",28002,4.2,18.0,"liquor_store, bar, store, restaurant, food, point_of_interest, establishment",40.4518609,-3.676916199999999,Restauración,9,17,70,370,0.045822102425876,4.514006232338699,70,0,20.376252265592615,315.9804362637089,4900.0,3.5057446694693364,0.1817469738155942,-0.2296024245962534,pocos,0.6169348237359693,0.7598049272014923
Los Gemelos,"Calle de López de Hoyos, 123, Madrid",28002,4.2,302.0,"point_of_interest, establishment",40.44625449999999,-3.6710913,Otros / No categorizado,7,34,69,301,0.1125827814569536,4.288500379772647,69,0,18.39123550731014,295.9065262043126,4761.0,4.199999999999679,0.1817469738155942,-0.1973944757488867,muchos,0.8287055308581972,0.9570467441129096
Nautalia viajes,"Calle de López de Hoyos, 92, Madrid",28002,4.1,27.0,"travel_agency, lodging, point_of_interest, establishment",40.44286959999999,-3.675622699999999,Alojamiento,1,29,83,348,0.0830945558739255,3.753827402806933,83,0,14.091220170064243,311.5676744329754,6889.0,3.8244573977670258,0.0315424323460791,-0.2285817501609496,pocos,0.6641860161695888,0.9923790035281508
Los Torreznos BAR,"Calle de López de Hoyos, 149, Madrid",28002,4.2,4012.0,"restaurant, bar, food, point_of_interest, establishment",40.44799109999999,-3.6687392,Restauración,9,22,62,255,0.0859375,4.564549370052986,62,0,20.83511095165111,283.00206094328513,3844.0,4.2,0.1817469738155942,0.2233502081374886,muchos,0.8107547877466401,0.9004085211241513
Enforex Camps,"Calle de Gustavo Fernández Balbuena, 11, 2º planta, Madrid",28002,4.5,201.0,"point_of_interest, establishment",40.4496534,-3.6678951,Otros / No categorizado,7,13,60,241,0.0537190082644628,4.751875984642656,60,0,22.580325373423616,285.1125590785594,3600.0,4.49999999160746,0.6323605982241368,-0.208848711078408,muchos,0.8929409556669166,0.9274763010948822
Cambridge House,"Calle de López de Hoyos, 95, Madrid",28002,4.9,128.0,"point_of_interest, establishment",40.4451306,-3.6728543,Otros / No categorizado,7,34,77,330,0.1027190332326284,4.0968772299647345,77,0,16.784403037403514,315.4595467072846,5929.0,4.8999864722143975,1.2331787641021943,-0.2171275148314283,normal,0.9785852963945076,1.167531524922775
Hotel NH Madrid Zurbano,"Calle de Zurbano, 79-81, Madrid",28003,4.2,2913.0,"lodging, point_of_interest, establishment",40.439051,-3.692878,Alojamiento,1,52,102,413,0.1256038647342995,2.6412770205199623,102,0,6.976344299126809,269.41025609303614,10404.0,4.2,0.1817469738155942,0.0987145187598264,muchos,0.7934601832487392,1.5321326405761606
Hotel NH Collection Madrid Abascal,"Calle de José Abascal, 47, Madrid",28003,4.6,2560.0,"lodging, point_of_interest, establishment",40.438314,-3.695182,Alojamiento,1,42,109,388,0.1079691516709511,2.5009972975982224,109,0,6.254987482593611,272.60870543820624,11881.0,4.6,0.7825651396936505,0.0586813992417966,muchos,0.931153394416246,1.7685523949785218
