nombre,direccion,latitud,longitud,codigo_postal,types,rating,user_ratings_total
Miyama,"Paseo de la Castellana, 45, Madrid",40.435713,-3.689798799999998,28001,"restaurant, food, point_of_interest, establishment",4.6,1207.0
Rosewood Villa Magna,"Paseo de la Castellana, 22, Madrid",40.4299515,-3.688152499999999,28001,"gym, spa, restaurant, lodging, health, food, point_of_interest, establishment",4.5,2670.0
Hotel Único Madrid,"Calle de Claudio Coello, 67, Madrid",40.428537,-3.6863313,28001,"restaurant, lodging, food, point_of_interest, establishment",4.7,526.0
ICON Embassy,"Calle de Serrano, 46, Madrid",40.4270199,-3.6873236,28001,"restaurant, lodging, food, point_of_interest, establishment",4.4,859.0
ICON Wipton,"Calle de Jorge Juan, 17, Madrid",40.4240272,-3.6854174,28001,"restaurant, lodging, food, point_of_interest, establishment",4.5,646.0
VP Jardín de Recoletos,"Calle de Gil de Santivañes, 6, Madrid",40.4223075,-3.689168100000001,28001,"parking, restaurant, lodging, food, point_of_interest, establishment",4.5,672.0
Sagaretxe,"Calle de Eloy Gonzalo, 26, Madrid",40.434241,-3.701002,28001,"bar, restaurant, food, point_of_interest, establishment",4.0,3849.0
Horno de Juan,"Calle de Lope de Rueda, 4, Madrid",40.4236435,-3.6774816,28001,"restaurant, food, point_of_interest, establishment",4.2,880.0
Petit Palace Chueca,"Calle de Hortaleza, 3, Madrid",40.420354,-3.7011024,28001,"cafe, restaurant, lodging, store, food, point_of_interest, establishment",4.4,1475.0
Restaurante Fathe Pur,"Calle de Ibiza, 42, Madrid",40.4179938,-3.673506100000001,28001,"restaurant, food, point_of_interest, establishment",4.4,1690.0
Taberna de La Daniela Goya,"Calle del General Pardiñas, 21, BAJO, Madrid",40.42632020000001,-3.6786533,28001,"bar, restaurant, food, point_of_interest, establishment",4.1,2262.0
Petit Palace Santa Barbara,"Plaza de Santa Bárbara, 10, Madrid",40.4264258,-3.696379599999999,28001,"restaurant, lodging, food, point_of_interest, establishment",4.5,1710.0
Restaurante Milos - La Parrilla Griega,"Calle de Francisco Silvela, 30, Madrid",40.4321534,-3.671916,28001,"meal_takeaway, restaurant, food, point_of_interest, establishment",4.4,2038.0
Hospes Puerta de Alcalá,"Plaza de la Independencia, 3, Madrid",40.4206199,-3.689281300000001,28001,"spa, restaurant, lodging, food, point_of_interest, establishment",4.4,1036.0
Petit Palace Savoy Alfonso XII,"Calle de Alfonso XII, 18, Madrid",40.4171891,-3.689137399999999,28001,"restaurant, lodging, food, point_of_interest, establishment",4.5,1414.0
La Mordida,"Calle de Pío Baroja, 9, Madrid",40.413717,-3.673971,28001,"restaurant, food, point_of_interest, establishment",4.3,5009.0
Restaurante Los Montes de Galicia,"Calle de Azcona, 46, Madrid",40.4346777,-3.668364,28001,"restaurant, food, point_of_interest, establishment",4.8,10489.0
Taste Me - Restaurante Chamberí con terraza - Carne a la brasa,"Calle de Santa Engracia, 53, Madrid",40.43337409999999,-3.6983286,28001,"bar, restaurant, food, point_of_interest, establishment",4.2,995.0
Bar Tomate,"Calle de Fernando el Santo, 26, Madrid",40.4279549,-3.6905347,28001,"bar, restaurant, food, point_of_interest, establishment",4.2,3348.0
Taberna de La Daniela Medinaceli,"Plaza Jesús, 7, Madrid",40.4141903,-3.6958156,28001,"bar, restaurant, food, point_of_interest, establishment",4.0,2560.0
Taberna Degusta,"Calle de Francisco Silvela, 83, Madrid",40.4368662,-3.6771567,28001,"meal_delivery, bar, restaurant, food, point_of_interest, establishment",4.4,690.0
Mercado de la Reina 12,"Gran Vía, 12, Madrid",40.41962899999999,-3.6987696,28001,"bar, restaurant, food, point_of_interest, establishment",4.2,7392.0
VP Madroño,"Calle del General Díaz Porlier, 101, Madrid",40.43513129999999,-3.6765655,28001,"lodging, restaurant, food, point_of_interest, establishment",4.4,1273.0
El Escondite de Villanueva l Restaurante Barrio Salamanca,"Calle de Villanueva, 26, Madrid",40.42236579999999,-3.6859795,28001,"liquor_store, bar, store, restaurant, food, point_of_interest, establishment",4.1,2528.0
Restaurante italiano Nonsolocaffé,"Calle de Ríos Rosas, 52, Madrid",40.44157149999999,-3.6958103,28001,"bar, restaurant, food, point_of_interest, establishment",4.3,1709.0
Lamucca de Prado,"Calle del Prado, 16, Madrid",40.4148451,-3.6985903,28001,"restaurant, food, point_of_interest, establishment",4.2,6538.0
El Pedrusco de Aldealcorvo,"Calle de Juan de Austria, 27, Madrid",40.4339751,-3.700078,28001,"restaurant, food, point_of_interest, establishment",4.6,802.0
Taberna La Carmencita,"Calle de la Libertad, 16, Madrid",40.42115959999999,-3.6972845,28001,"bar, restaurant, food, point_of_interest, establishment",4.0,1542.0
La Fragua de Sebín,"Calle del Divino Pastor, 21, Madrid",40.4275263,-3.703811299999999,28001,"restaurant, food, point_of_interest, establishment",4.2,1604.0
Ojalá,"Calle de San Andrés, 1, Madrid",40.42552699999999,-3.7039978,28001,"restaurant, food, point_of_interest, establishment",4.3,8803.0
La Mordida,"Calle de Belén, 13, Madrid",40.4244135,-3.6959487,28001,"restaurant, food, point_of_interest, establishment",4.3,2585.0
Restaurante La Cuchara,"Calle del Conde de Peñalver, 82, Madrid",40.4329204,-3.674826000000001,28001,"cafe, bar, store, restaurant, food, point_of_interest, establishment",4.2,2476.0
Movistar Arena Madrid,"Avenida de Felipe II, s/n, Madrid",40.42387859999999,-3.6717512,28001,"stadium, night_club, restaurant, food, point_of_interest, establishment",4.6,62987.0
Soho de Jorge Juan Bar Restaurante,"Calle de Jorge Juan, 50, Madrid",40.4234702,-3.6808474,28001,"bar, restaurant, food, point_of_interest, establishment",4.2,831.0
RIBS ABADA,"Calle de la Abada, 8, Madrid",40.4193231,-3.704118599999999,28001,"restaurant, food, point_of_interest, establishment",4.7,19883.0
Taberna del Puerto,"Calle de Diego de León, 58, Madrid",40.4344825,-3.6770095,28001,"bar, restaurant, food, point_of_interest, establishment",4.0,354.0
Paradís Madrid,"Calle del Marqués de Cubas, 14, Madrid",40.4166211,-3.695732499999999,28001,"restaurant, food, point_of_interest, establishment",4.1,712.0
Lateral Velázquez,"Calle Velázquez, 57, Madrid",40.4285694,-3.6840918,28001,"restaurant, food, point_of_interest, establishment",4.2,5307.0
Taj Indian Restaurant Madrid | Cocina Hindú,"Calle del Marqués de Cubas, 6, Madrid",40.4172225,-3.695632599999999,28001,"meal_takeaway, meal_delivery, restaurant, food, point_of_interest, establishment",4.1,1371.0
Las Tortillas de Gabino,"Calle de Rafael Calvo, 20, Madrid",40.4338707,-3.6938244,28001,"restaurant, food, point_of_interest, establishment",4.5,2480.0
La Finca de Susana,"Calle del Príncipe, 10, Madrid",40.4160028,-3.7004754,28001,"restaurant, food, point_of_interest, establishment",4.0,5971.0
Alfredo's Barbacoa,"Calle de Lagasca, 5, Madrid",40.4213657,-3.685896,28001,"restaurant, food, point_of_interest, establishment",4.1,4210.0
Le Petit Prince,"Calle de Fernán González, 7, Madrid",40.4243502,-3.6740567,28001,"restaurant, food, point_of_interest, establishment",4.2,1355.0
Restaurante La Giralda - Tu Rincón de Andalucía en Madrid -,"Calle de Claudio Coello, 24, Madrid",40.42326529999999,-3.686597799999999,28001,"restaurant, food, point_of_interest, establishment",4.3,1627.0
TreZe Restaurante,"Calle del General Pardiñas, 34, Madrid",40.426798,-3.6783377,28001,"restaurant, bar, food, point_of_interest, establishment",4.5,1743.0
Restaurante Ogrelo,"Calle de Menorca, 39, Madrid",40.41944469999999,-3.6742675,28001,"restaurant, food, point_of_interest, establishment",4.6,3766.0
Lateral Fuencarral,"Calle de Fuencarral, 43, Madrid",40.423266,-3.701085,28001,"restaurant, food, point_of_interest, establishment",4.3,6217.0
Kasanova,"Calle del Alcalde Sainz de Baranda, 44, Madrid",40.4164924,-3.6725143,28001,"restaurant, food, point_of_interest, establishment",4.3,556.0
Areia Club,"Calle de Hortaleza, 92, Madrid",40.4245406,-3.6980344,28001,"night_club, bar, restaurant, food, point_of_interest, establishment",4.4,4881.0
New York Burger,"Calle de Recoletos, 4, Madrid",40.422131,-3.6908463,28001,"restaurant, food, point_of_interest, establishment",4.5,8017.0
La Llave de Oro,"Calle Velázquez, 6, Madrid",40.421899,-3.684179300000001,28001,"restaurant, food, point_of_interest, establishment",4.5,1157.0
Azotea Cibeles,"Plaza Cibeles, 1, Sexta Planta, Madrid",40.4189339,-3.6921521,28001,"restaurant, bar, food, point_of_interest, establishment",4.1,8210.0
La Musa Malasaña,"Calle de Manuela Malasaña, 18, Madrid",40.42881359999999,-3.7043854,28001,"bar, restaurant, food, point_of_interest, establishment",4.5,3977.0
Restaurante Couzapín,"Calle de Menorca, 33, Madrid",40.4195791,-3.675219999999999,28001,"bar, restaurant, food, point_of_interest, establishment",4.3,6044.0
Krachai - Thai Cuisine,"Calle de Fernando VI, 11, Madrid",40.4254055,-3.696202500000001,28001,"restaurant, food, point_of_interest, establishment",4.2,1501.0
Fortuny Home Club,"Calle de Fortuny, 34, Madrid",40.43445529999999,-3.689987899999999,28001,"restaurant, food, point_of_interest, establishment",3.9,4768.0
Lamucca de Pez,"Plaza de Carlos Cambronero, 4, Madrid",40.42333199999999,-3.703871399999999,28001,"restaurant, food, point_of_interest, establishment",4.4,10537.0
Tandoori Station,"Calle de José Ortega y Gasset, 89, 91, Madrid",40.4298444,-3.670925,28001,"restaurant, food, point_of_interest, establishment",4.5,4402.0
Brunch by Café Oliver,"Calle de Caracas, 10, Madrid",40.4305827,-3.694306799999999,28001,"restaurant, food, point_of_interest, establishment",3.8,121.0
Bazaar,"Calle de la Libertad, 21, Madrid",40.4213581,-3.697452,28001,"restaurant, food, point_of_interest, establishment",4.0,5982.0
Miyama,"Paseo de la Castellana, 45, Madrid",40.435713,-3.689798799999998,28002,"restaurant, food, point_of_interest, establishment",4.6,1207.0
Restaurante Milos - La Parrilla Griega,"Calle de Francisco Silvela, 30, Madrid",40.4321534,-3.671916,28002,"meal_takeaway, restaurant, food, point_of_interest, establishment",4.4,2038.0
Restaurante Los Montes de Galicia,"Calle de Azcona, 46, Madrid",40.4346777,-3.668364,28002,"restaurant, food, point_of_interest, establishment",4.8,10489.0
Taberna de La Daniela Bernabéu,"Calle de Gutiérrez Solana, 2, Madrid",40.4506535,-3.6889241,28002,"bar, restaurant, food, point_of_interest, establishment",4.0,1709.0
Restaurante italiano Nonsolocaffé,"Calle de Ríos Rosas, 52, Madrid",40.44157149999999,-3.6958103,28002,"bar, restaurant, food, point_of_interest, establishment",4.3,1709.0
Taberna Degusta,"Calle de Francisco Silvela, 83, Madrid",40.4368662,-3.6771567,28002,"meal_delivery, bar, restaurant, food, point_of_interest, establishment",4.4,690.0
Hotel Puerta America Madrid,"Avenida de América, 41, Madrid",40.4406864,-3.6701104,28002,"lodging, restaurant, food, point_of_interest, establishment",4.3,6216.0
VP Madroño,"Calle del General Díaz Porlier, 101, Madrid",40.43513129999999,-3.6765655,28002,"lodging, restaurant, food, point_of_interest, establishment",4.4,1273.0
DiverXO,"NH Eurobuilding, Calle del Padre Damián, 23, Madrid",40.4578992,-3.6857765,28002,"restaurant, food, point_of_interest, establishment",4.4,3026.0
Restaurante La Cuchara,"Calle del Conde de Peñalver, 82, Madrid",40.4329204,-3.674826000000001,28002,"cafe, bar, restaurant, food, point_of_interest, store, establishment",4.2,2476.0
Restaurante Rías Bajas,"Calle Alustante, 11, Calle de Clara del Rey, 33, Posterior, Madrid",40.4425801,-3.6711912,28002,"restaurant, food, point_of_interest, establishment",4.5,2484.0
Alfredo's Barbacoa,"Calle de Juan Hurtado de Mendoza, 11, Madrid",40.4605735,-3.6872982,28002,"restaurant, food, point_of_interest, establishment",4.4,5376.0
Restaurante el escondite,"Avenida de Alberto de Alcocer, 27, Madrid",40.4588788,-3.6837376,28002,"restaurant, food, point_of_interest, establishment",3.7,46.0
Taberna del Puerto,"Calle de Diego de León, 58, Madrid",40.4344825,-3.6770095,28002,"bar, restaurant, food, point_of_interest, establishment",4.0,354.0
Restaurante La Misión,"Calle de José Silva, 22, Madrid",40.454555,-3.6593771,28002,"restaurant, bar, food, point_of_interest, establishment",4.3,1973.0
El Qüenco de Pepa,"Calle de Henri Dunant, 21, Madrid",40.46007629999999,-3.6845477,28002,"restaurant, food, point_of_interest, establishment",4.3,2963.0
Ichiban,"Avenida de Alberto de Alcocer, 22 bis, Madrid",40.4581183,-3.6847162,28002,"bar, restaurant, food, point_of_interest, establishment",4.4,895.0
Restaurante - Cervecería Fass Concha Espina,"Calle de Rodríguez Marín, 84, Madrid",40.45146539999999,-3.678578,28002,"restaurant, food, point_of_interest, establishment",4.0,2535.0
Órale Un Pedacito,"Calle de Pradillo, 30, Madrid",40.4487482,-3.672656000000001,28002,"bar, restaurant, food, point_of_interest, establishment",4.5,2811.0
Cazorla,"Calle de Castelló, 99, Madrid",40.43391889999999,-3.680861300000001,28002,"bar, restaurant, food, point_of_interest, establishment",4.3,2664.0
Realcafé Bernabéu,"Avenida de Concha Espina, 1, puerta 30, Madrid",40.4521463,-3.6884277,28002,"restaurant, cafe, food, point_of_interest, store, establishment",4.3,3119.0
RESTAURANTE LOBBO,"Calle Gabriel Lobo, 11, Madrid",40.44301550000001,-3.680793300000001,28002,"restaurant, food, point_of_interest, establishment",4.1,1516.0
Cervecería José Luis (Serrano),"Calle de Serrano, 89, Madrid",40.4369999,-3.6865438,28002,"bar, restaurant, food, point_of_interest, establishment",4.2,1078.0
Zalacaín Restaurant,"Calle de Álvarez de Baena, 4, Madrid",40.4384851,-3.6887062,28002,"restaurant, food, point_of_interest, establishment",4.6,957.0
Restaurante Al Paseo,"Paseo de La Habana, 65, Madrid",40.4544998,-3.68349,28002,"restaurant, food, point_of_interest, establishment",4.2,1114.0
Aránzazu,"Calle de Francisco Silvela, 96, Madrid",40.4386111,-3.6783333,28002,"bar, restaurant, food, point_of_interest, establishment",4.2,1419.0
CARTA MARINA,"Calle del Padre Damián, 40, Madrid",40.4584927,-3.6853339,28002,"restaurant, food, point_of_interest, establishment",4.5,1033.0
Restaurante Ferreiro,"Calle del Aviador Zorita, 32, Madrid",40.4502106,-3.698173299999999,28002,"restaurant, food, point_of_interest, establishment",4.3,1283.0
VIPS,"Calle de Orense, 16, Madrid",40.4494961,-3.695054099999999,28002,"restaurant, meal_takeaway, food, point_of_interest, establishment",3.9,6758.0
Lateral,"Paseo de la Castellana, 89, Madrid",40.4496626,-3.691811,28002,"restaurant, food, point_of_interest, establishment",4.3,8659.0
Fortuny Home Club,"Calle de Fortuny, 34, Madrid",40.43445529999999,-3.689987899999999,28002,"restaurant, food, point_of_interest, establishment",3.9,4768.0
De la Riva,"Calle de Cochabamba, 13, Madrid",40.45576250000001,-3.6807831,28002,"restaurant, food, point_of_interest, establishment",4.5,978.0
Restaurante Quenco,"Avenida de Alberto de Alcocer, 26, Madrid",40.4585489,-3.6844147,28002,"restaurant, food, point_of_interest, establishment",4.6,944.0
El Bund Restaurante,"Calle de Arturo Baldasano, 22, Madrid",40.4567187,-3.6584585,28002,"restaurant, food, point_of_interest, establishment",4.3,2000.0
The Irish Rover,"Avenida de Brasil, 7, Madrid",40.4547539,-3.693954599999999,28002,"meal_takeaway, bar, restaurant, food, point_of_interest, establishment",4.3,11126.0
Restaurante Maldonado 14,"Calle de Maldonado, 14, Madrid",40.43382680000001,-3.6841461,28002,"restaurant, food, point_of_interest, establishment",4.5,799.0
Restaurante Casa Benigna,"Calle de Benigno Soto, 9, Madrid",40.44811299999999,-3.6742458,28002,"restaurant, food, point_of_interest, establishment",4.7,2089.0
Parrilla de Juan Adán,"Calle de Santa Hortensia, 62, Madrid",40.4472237,-3.6639179,28002,"restaurant, food, point_of_interest, establishment",3.9,1604.0
China Té,"Calle de Santa Hortensia, 60, Madrid",40.4471435,-3.6638466,28002,"restaurant, food, point_of_interest, establishment",4.3,1449.0
Tandoori Station,"Calle de José Ortega y Gasset, 89, 91, Madrid",40.4298444,-3.670925,28002,"restaurant, food, point_of_interest, establishment",4.5,4402.0
Asador Lekeitio,"Calle de Uruguay, 16, Madrid",40.4548941,-3.672453700000001,28002,"restaurant, food, point_of_interest, establishment",4.5,578.0
Bosco,"Calle de Fernández de la Hoz, 78, Madrid",40.4401595,-3.694274199999999,28002,"restaurant, bar, food, point_of_interest, establishment",4.6,617.0
Los Torreznos BAR,"Calle de López de Hoyos, 149, Madrid",40.44799109999999,-3.6687392,28002,"restaurant, bar, food, point_of_interest, establishment",4.2,4012.0
La Ancha,"Calle del Príncipe de Vergara, 204, Madrid",40.4493583,-3.6774667,28002,"restaurant, food, point_of_interest, establishment",4.5,2476.0
El Olvido - Restaurante Chamartín,"Calle de Juan Hurtado de Mendoza, 13, Madrid",40.4605438,-3.6869077,28002,"restaurant, meal_delivery, meal_takeaway, bar, food, point_of_interest, establishment",4.3,2465.0
Restaurante Indio Bollywood Tadka,"Calle del Eucalipto, 1, Local 3 Posterior, Madrid",40.4536067,-3.6647033,28002,"meal_takeaway, restaurant, food, point_of_interest, establishment",4.4,645.0
Restaurante La Penela Velazquez,"Calle Velázquez, 96, Madrid",40.433389,-3.683229,28002,"restaurant, food, point_of_interest, establishment",4.3,2691.0
Guetaria Asador 2.zero,"Calle del Aviador Zorita, 8, Madrid",40.4475364,-3.6983613,28002,"restaurant, food, point_of_interest, establishment",4.4,1788.0
Ganges,"Calle de Bolivia, 11, Madrid",40.4576332,-3.678244199999999,28002,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",4.4,729.0
Hevia,"Calle de Serrano, 118, Madrid",40.4361308,-3.6861663,28002,"restaurant, food, point_of_interest, establishment",4.5,545.0
Foster's Hollywood,"Calle de López de Hoyos, 161, 163, Madrid",40.4489781,-3.6668782,28002,"restaurant, food, point_of_interest, establishment",3.3,194.0
Solo de Uva,"Calle del Príncipe de Vergara, 210, Madrid",40.4518609,-3.676916199999999,28002,"liquor_store, bar, restaurant, food, point_of_interest, store, establishment",4.2,18.0
Restaurante El Coto del Casar,"Calle del Corazón de María, 30, Madrid",40.441519,-3.6686659,28002,"restaurant, food, point_of_interest, establishment",4.4,603.0
Restaurante José Luis (Salgado),"Calle de, Calle de Rafael Salgado, 11, Madrid",40.4544042,-3.6881365,28002,"restaurant, food, point_of_interest, establishment",4.1,1348.0
Chiquito Riz,"Calle de Coslada, 3, Madrid",40.4372701,-3.675598199999999,28002,"restaurant, food, point_of_interest, establishment",4.4,2080.0
Restaurante Surtopía,"Calle de Núñez de Balboa, 106, Madrid",40.4353641,-3.6818554,28002,"restaurant, food, point_of_interest, establishment",4.4,839.0
Marisquería El Cantábrico,"Calle de Padilla, 39, Madrid",40.4313305,-3.677143199999999,28002,"restaurant, food, point_of_interest, establishment",4.3,1239.0
Restaurante José Luis,"Calle del General Oráa, 5, Madrid",40.4362622,-3.6877699,28002,"restaurant, cafe, food, point_of_interest, store, establishment",4.1,911.0
Restaurante El Pinchito,"Calle de la Constancia, 48, Madrid",40.4435985,-3.671547700000001,28002,"restaurant, food, point_of_interest, establishment",4.5,943.0
Camino,"Calle de Gutiérrez Solana, 6, Madrid",40.4504733,-3.6879979,28002,"restaurant, food, point_of_interest, establishment",4.3,1921.0
VP SOGNIO Metropolitano,"Avenida de la Reina Victoria, 12, Madrid",40.447262,-3.705863,28003,"restaurant, lodging, food, point_of_interest, establishment",4.3,2036.0
Miyama,"Paseo de la Castellana, 45, Madrid",40.435713,-3.689798799999998,28003,"restaurant, food, point_of_interest, establishment",4.6,1207.0
Sagaretxe,"Calle de Eloy Gonzalo, 26, Madrid",40.434241,-3.701002,28003,"bar, restaurant, food, point_of_interest, establishment",4.0,3849.0
Rosewood Villa Magna,"Paseo de la Castellana, 22, Madrid",40.4299515,-3.688152499999999,28003,"gym, spa, restaurant, lodging, health, food, point_of_interest, establishment",4.5,2670.0
Hotel Único Madrid,"Calle de Claudio Coello, 67, Madrid",40.428537,-3.6863313,28003,"restaurant, lodging, food, point_of_interest, establishment",4.7,526.0
Restaurante italiano Nonsolocaffé,"Calle de Ríos Rosas, 52, Madrid",40.44157149999999,-3.6958103,28003,"bar, restaurant, food, point_of_interest, establishment",4.3,1709.0
Las Mañanitas,"Calle de Bravo Murillo, 54, Madrid",40.442998,-3.7037667,28003,"restaurant, food, point_of_interest, establishment",4.3,1857.0
ICON Embassy,"Calle de Serrano, 46, Madrid",40.4270199,-3.6873236,28003,"restaurant, lodging, food, point_of_interest, establishment",4.4,859.0
Petit Palace Santa Barbara,"Plaza de Santa Bárbara, 10, Madrid",40.4264258,-3.696379599999999,28003,"restaurant, lodging, food, point_of_interest, establishment",4.5,1710.0
Taberna de La Daniela Bernabéu,"Calle de Gutiérrez Solana, 2, Madrid",40.4506535,-3.6889241,28003,"bar, restaurant, food, point_of_interest, establishment",4.0,1709.0
Taste Me - Restaurante Chamberí con terraza - Carne a la brasa,"Calle de Santa Engracia, 53, Madrid",40.43337409999999,-3.6983286,28003,"bar, restaurant, food, point_of_interest, establishment",4.2,995.0
Restaurante Horno de Juan,"Calle de Joaquín María López, 30, Madrid",40.4377009,-3.7117829,28003,"restaurant, food, point_of_interest, establishment",3.9,365.0
Bar Tomate,"Calle de Fernando el Santo, 26, Madrid",40.4279549,-3.6905347,28003,"bar, restaurant, food, point_of_interest, establishment",4.2,3348.0
El Pedrusco de Aldealcorvo,"Calle de Juan de Austria, 27, Madrid",40.4339751,-3.700078,28003,"restaurant, food, point_of_interest, establishment",4.6,802.0
Taberna Degusta,"Calle de Francisco Silvela, 83, Madrid",40.4368662,-3.6771567,28003,"bar, meal_delivery, restaurant, food, point_of_interest, establishment",4.4,690.0
La Fragua de Sebín,"Calle del Divino Pastor, 21, Madrid",40.4275263,-3.703811299999999,28003,"restaurant, food, point_of_interest, establishment",4.2,1604.0
Restaurante Ferreiro,"Calle del Aviador Zorita, 32, Madrid",40.4502106,-3.698173299999999,28003,"restaurant, food, point_of_interest, establishment",4.3,1283.0
VP Madroño,"Calle del General Díaz Porlier, 101, Madrid",40.43513129999999,-3.6765655,28003,"restaurant, lodging, food, point_of_interest, establishment",4.4,1273.0
Restaurante Gobolem,"Paseo de San Francisco de Sales, 11, Madrid",40.44031299999999,-3.716384,28003,"restaurant, cafe, food, point_of_interest, establishment",3.6,1345.0
Viavélez,"Avenida del General Perón, 10, Madrid",40.4522739,-3.697964099999999,28003,"restaurant, food, point_of_interest, establishment",4.3,952.0
Las Tortillas de Gabino,"Calle de Rafael Calvo, 20, Madrid",40.4338707,-3.6938244,28003,"restaurant, food, point_of_interest, establishment",4.5,2480.0
El Quinto Vino,"Calle de Hernani, 48, Madrid",40.44805699999999,-3.699002,28003,"restaurant, liquor_store, bar, store, food, point_of_interest, establishment",4.1,1412.0
Guetaria Asador 2.zero,"Calle del Aviador Zorita, 8, Madrid",40.4475364,-3.6983613,28003,"restaurant, food, point_of_interest, establishment",4.4,1788.0
La Musa Malasaña,"Calle de Manuela Malasaña, 18, Madrid",40.42881359999999,-3.7043854,28003,"bar, restaurant, food, point_of_interest, establishment",4.5,3977.0
Taberna Gaztelupe,"Calle del Aviador Zorita, 32, Madrid",40.4501454,-3.6981721,28003,"restaurant, food, point_of_interest, establishment",4.4,1702.0
Ojalá,"Calle de San Andrés, 1, Madrid",40.42552699999999,-3.7039978,28003,"restaurant, food, point_of_interest, establishment",4.3,8803.0
Lateral Velázquez,"Calle Velázquez, 57, Madrid",40.4285694,-3.6840918,28003,"restaurant, food, point_of_interest, establishment",4.2,5307.0
Ecocentro,"Calle Esquilache, 4, Madrid",40.442964,-3.7048922,28003,"restaurant, food, point_of_interest, establishment",4.2,2372.0
Fortuny Home Club,"Calle de Fortuny, 34, Madrid",40.43445529999999,-3.689987899999999,28003,"restaurant, food, point_of_interest, establishment",3.9,4768.0
Taberna del Puerto,"Calle de Diego de León, 58, Madrid",40.4344825,-3.6770095,28003,"bar, restaurant, food, point_of_interest, establishment",4.0,354.0
Brunch by Café Oliver,"Calle de Caracas, 10, Madrid",40.4305827,-3.694306799999999,28003,"restaurant, food, point_of_interest, establishment",3.8,121.0
La Mordida,"Calle de Belén, 13, Madrid",40.4244135,-3.6959487,28003,"restaurant, food, point_of_interest, establishment",4.3,2585.0
Asturianos,"Calle de Vallehermoso, 94, Madrid",40.43914259999999,-3.7081177,28003,"restaurant, food, point_of_interest, establishment",4.2,859.0
La Nueva,"Calle de Arapiles, 7, Madrid",40.43321569999999,-3.7052765,28003,"bar, restaurant, food, point_of_interest, establishment",4.0,1012.0
Restaurante La Despensa,"Calle del Cardenal Cisneros, 6, Madrid",40.4299647,-3.7015449,28003,"restaurant, food, point_of_interest, establishment",4.5,443.0
